,ID_ENTIDAD,ENTIDAD,PUNTAJE_PROMEDIO,ERRORESTANDARPROMEDIO,DESVIACION,PORCENTAJE_INSUFICIENTE,PORCENTAJE_MINIMO,PORCENTAJE_SATISFACTORIO,PORCENTAJE_AVANZADO,N,ano,grado,area
212,17,Duitama,362,"1,684",78,5,39,27,30,1360,2014,Grado5,Ciencias
213,58,Dosquebradas,322,"1,071",72,10,51,25,15,1845,2014,Grado5,Ciencias
214,67,Sincelejo,299,"0,816",66,17,55,18,10,3270,2014,Grado5,Ciencias
215,94,Yopal,316,"1,173",69,10,55,22,13,1975,2014,Grado5,Ciencias
216,82,Piedecuesta,330,"1,276",75,9,48,26,18,1510,2014,Grado5,Ciencias
217,63,Barrancabermeja,315,"1,173",74,13,51,21,15,2383,2014,Grado5,Ciencias
218,79,Quibdó,270,"1,48",59,26,60,11,4,1389,2014,Grado5,Ciencias
219,39,Guaviare,291,"1,837",66,18,59,17,6,904,2014,Grado5,Ciencias
220,75,Palmira,326,"1,122",73,9,49,26,16,2436,2014,Grado5,Ciencias
221,4,Bello,320,"0,918",69,10,52,24,14,3877,2014,Grado5,Ciencias
222,35,Fusagasugá,334,"1,48",74,7,48,26,19,1299,2014,Grado5,Ciencias
223,37,Soacha,321,"0,765",71,10,51,25,15,5502,2014,Grado5,Ciencias
224,90,Apartadó,283,"1,122",62,23,57,14,7,1687,2014,Grado5,Ciencias
225,65,Girón,314,"1,378",71,12,53,22,13,1500,2014,Grado5,Ciencias
226,28,Valledupar,306,"0,663",68,15,55,19,11,5226,2014,Grado5,Ciencias
227,92,Malambo,296,"1,327",60,20,51,18,11,1225,2014,Grado5,Ciencias
228,64,Floridablanca,339,"1,02",73,7,46,26,21,2447,2014,Grado5,Ciencias
229,71,Cali,315,"0,408",69,12,53,22,13,14799,2014,Grado5,Ciencias
230,3,Medellín,307,"0,459",69,15,53,19,12,20576,2014,Grado5,Ciencias
231,86,Zipaquirá,344,"1,429",72,6,44,27,23,1251,2014,Grado5,Ciencias
232,57,Pereira,320,"0,969",68,11,53,23,14,4182,2014,Grado5,Ciencias
233,12,"Bogotá, D.C.",338,"0,255",72,8,46,26,20,64238,2014,Grado5,Ciencias
234,80,Uribia,245,"1,633",54,41,53,4,2,1074,2014,Grado5,Ciencias
235,74,Cartago,315,"1,429",71,11,54,22,13,1161,2014,Grado5,Ciencias
236,43,Maicao,269,"1,071",60,28,56,12,4,2067,2014,Grado5,Ciencias
237,89,Facatativá,342,"1,224",73,6,45,27,22,1416,2014,Grado5,Ciencias
238,93,Riohacha,274,"1,071",61,26,57,12,5,2418,2014,Grado5,Ciencias
239,33,Sahagún,289,"1,173",62,18,60,16,6,1177,2014,Grado5,Ciencias
240,55,Armenia,316,"1,02",71,12,51,22,15,2513,2014,Grado5,Ciencias
241,53,Putumayo,298,"0,714",64,15,59,19,8,4093,2014,Grado5,Ciencias
242,72,Buenaventura,272,"0,918",61,27,56,12,5,3210,2014,Grado5,Ciencias
243,73,Buga,309,"1,888",69,12,55,22,11,1029,2014,Grado5,Ciencias
244,88,Ipiales,329,"1,48",69,8,50,27,15,1430,2014,Grado5,Ciencias
245,91,Chía,346,"1,99",74,6,43,27,24,1178,2014,Grado5,Ciencias
246,83,Rionegro,337,"1,429",74,7,47,27,19,1174,2014,Grado5,Ciencias
247,78,Vichada,277,"1,837",61,25,56,14,5,748,2014,Grado5,Ciencias
248,45,Ciénaga,274,"1,173",60,27,54,13,6,1349,2014,Grado5,Ciencias
249,31,Montería,286,"0,765",63,22,57,14,7,5457,2014,Grado5,Ciencias
250,81,Jamundí,293,"1,735",68,18,56,18,7,995,2014,Grado5,Ciencias
251,14,Magangué,267,"1,378",58,28,58,10,4,1690,2014,Grado5,Ciencias
252,36,Girardot,299,"1,582",63,16,56,18,10,783,2014,Grado5,Ciencias
253,23,Cartagena,295,"0,561",65,20,53,17,10,10424,2014,Grado5,Ciencias
254,5,Envigado,363,"1,735",82,6,38,23,32,1301,2014,Grado5,Ciencias
255,41,Neiva,312,"1,02",67,12,55,22,12,3631,2014,Grado5,Ciencias
256,62,Bucaramanga,340,"0,867",73,8,45,26,22,5263,2014,Grado5,Ciencias
257,26,Popayán,325,"1,224",69,9,50,27,14,2457,2014,Grado5,Ciencias
258,6,Itagüí,315,"1,173",70,13,52,20,15,2025,2014,Grado5,Ciencias
259,84,Pitalito,306,"1,071",67,12,58,21,9,1655,2014,Grado5,Ciencias
260,8,Arauca,306,"0,918",72,15,56,19,11,2983,2014,Grado5,Ciencias
261,60,Santa Marta,293,"0,714",65,19,55,17,9,5271,2014,Grado5,Ciencias
262,32,Lorica,275,"1,071",62,25,58,12,5,1419,2014,Grado5,Ciencias
263,18,Sogamoso,344,"1,224",73,5,45,28,22,1495,2014,Grado5,Ciencias
264,50,Tumaco,244,"0,969",54,42,51,5,2,2234,2014,Grado5,Ciencias
265,16,Tunja,352,"1,224",75,5,41,28,26,1842,2014,Grado5,Ciencias
266,69,Ibagué,331,"0,765",72,9,48,25,19,5434,2014,Grado5,Ciencias
267,11,Barranquilla,303,"0,408",65,17,54,19,11,12006,2014,Grado5,Ciencias
268,77,Vaupés,257,"2,092",56,33,58,7,2,448,2014,Grado5,Ciencias
269,22,Florencia,297,"1,071",67,16,56,19,8,2076,2014,Grado5,Ciencias
270,152,Nariño,308,"0,408",64,16,49,22,13,15868,2014,Grado5,Ciencias
271,147,Magdalena,277,"0,459",62,26,56,13,6,14855,2014,Grado5,Ciencias
272,115,Boyacá,329,"0,51",73,9,48,25,17,13770,2014,Grado5,Ciencias
273,120,Cesar,294,"0,408",65,18,57,16,9,13058,2014,Grado5,Ciencias
274,154,Norte de Santander,314,"0,408",69,12,53,22,13,14967,2014,Grado5,Ciencias
275,168,Santander,329,"0,459",74,9,48,25,18,21671,2014,Grado5,Ciencias
276,163,Quindio,311,"0,816",71,13,53,21,13,4917,2014,Grado5,Ciencias
277,141,Huila,310,"0,459",68,12,56,21,11,13338,2014,Grado5,Ciencias
278,150,Meta,308,"0,459",69,13,55,21,11,11547,2014,Grado5,Ciencias
279,119,Cauca,298,"0,459",66,17,55,19,9,13632,2014,Grado5,Ciencias
280,108,Atlántico,295,"0,357",63,19,54,17,9,23851,2014,Grado5,Ciencias
281,166,Risaralda,316,"0,612",69,12,52,23,13,8710,2014,Grado5,Ciencias
282,23,Cartagena,307,"0,306",55,19,48,21,13,10827,2016,Grado5,Ciencias
283,5,Envigado,349,"1,071",63,7,37,30,27,1313,2016,Grado5,Ciencias
284,41,Neiva,328,"0,561",54,9,47,27,18,3486,2016,Grado5,Ciencias
285,62,Bucaramanga,337,"0,51",59,8,40,30,22,5394,2016,Grado5,Ciencias
286,26,Popayán,327,"0,714",56,8,48,31,14,2665,2016,Grado5,Ciencias
287,6,Itagüí,323,"0,765",57,12,46,26,17,2009,2016,Grado5,Ciencias
288,84,Pitalito,316,"0,816",57,10,52,27,10,1709,2016,Grado5,Ciencias
289,8,Arauca,315,"0,612",56,11,52,26,11,3228,2016,Grado5,Ciencias
290,60,Santa Marta,319,"0,459",57,13,47,24,16,5557,2016,Grado5,Ciencias
291,32,Lorica,299,"0,918",56,20,52,20,8,1396,2016,Grado5,Ciencias
292,18,Sogamoso,341,"0,969",58,5,40,33,22,1366,2016,Grado5,Ciencias
293,50,Tumaco,268,"0,663",47,36,52,10,2,2297,2016,Grado5,Ciencias
294,16,Tunja,355,"0,765",58,6,33,33,29,1998,2016,Grado5,Ciencias
295,69,Ibagué,328,"0,51",58,9,46,28,17,5131,2016,Grado5,Ciencias
296,11,Barranquilla,325,"0,306",55,12,46,26,17,11951,2016,Grado5,Ciencias
297,77,Vaupés,281,"1,939",44,20,65,13,1,237,2016,Grado5,Ciencias
298,22,Florencia,308,"0,765",53,13,56,24,8,1941,2016,Grado5,Ciencias
299,152,Nariño,313,"0,255",52,14,48,26,12,15339,2016,Grado5,Ciencias
300,147,Magdalena,299,"0,255",53,21,51,19,9,15517,2016,Grado5,Ciencias
301,115,Boyacá,336,"0,306",58,7,42,31,20,12765,2016,Grado5,Ciencias
302,120,Cesar,309,"0,306",55,17,50,20,13,13265,2016,Grado5,Ciencias
303,154,Norte de Santande,323,"0,306",58,11,47,27,16,15290,2016,Grado5,Ciencias
304,168,Santander,331,"0,255",59,9,44,28,19,21505,2016,Grado5,Ciencias
305,163,Quindio,319,"0,561",60,12,49,25,13,4563,2016,Grado5,Ciencias
306,141,Huila,322,"0,306",56,10,50,28,13,12674,2016,Grado5,Ciencias
